순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
955,0001P0,마이티 바이오시밀러&CDMO액티브,K Market,1X,8520.0,1986,16000000.0,,,,-16.0592,,,
956,181480,ACE 미국부동산리츠(합성 H),K Market,1X,82210.0,189,15000000.0,,,,-1.3803,,,
957,477730,KODEX 인도타타그룹,K Market,1X,7170.0,2161,15000000.0,,,,-13.8946,,,
958,236350,TIGER 인도니프티50레버리지(합성),K Market,2X,25420.0,618,15000000.0,4.76,-1.57,-9.2,-28.23,-24.54,-34.04,-9.28
959,399580,RISE 글로벌클린에너지,K Market,1X,9470.0,1669,15000000.0,,,,-20.6865,,,
960,289670,PLUS 국채선물10년,K Market,1X,51675.0,292,15000000.0,,,,-1.5996,,,
961,204450,KODEX 차이나H레버리지(H),K Market,2X,2235.0,6667,14000000.0,0.45,-3.46,-7.45,6.68,-13.54,-24.37,11.75
962,196030,ACE 일본TOPIX레버리지(H),K Market,2X,90325.0,165,14000000.0,3.07,-1.05,2.19,-0.52,28.7,68.53,200.78
963,391600,ACE 미국친환경그린테마,K Market,1X,10365.0,1422,14000000.0,,,,-18.3859,,,
964,404650,SOL KRX기후변화솔루션,K Market,1X,23880.0,594,14000000.0,,,,-20.1545,,,
965,0067V0,TIGER 차이나글로벌리더스TOP3+,K Market,1X,9325.0,1542,14000000.0,,,,-17.1112,,,
966,237440,TIGER 경기방어채권혼합,K Market,1X,10080.0,1368,13000000.0,,,,-1.7065,,,
967,0091M0,HANARO 27-06 회사채(AA-이상)액티브,K Market,1X,10160.0,1316,13000000.0,,,,0.5442,,,
968,0007N0,아이엠에셋 200,K Market,1X,109935.0,117,13000000.0,,,,-25.5685,,,
969,473440,ACE 11월만기자동연장회사채AA-이상액티브,K Market,1X,10855.0,1180,12000000.0,,,,0.7892,,,
970,0050E0,PLUS 미국AI에이전트,K Market,1X,8350.0,1569,12000000.0,,,,1.458,,,
971,0153P0,ACE 리츠부동산인프라액티브,K Market,1X,9485.0,1349,12000000.0,,,,-0.9491,,,
972,428560,KODEX 미국ETF산업Top10 Indxx,K Market,1X,15365.0,813,12000000.0,,,,-5.3915,,,
973,375770,KODEX 탄소효율그린뉴딜,K Market,1X,24810.0,483,12000000.0,,,,-23.7152,,,
974,0017Y0,1Q 종합채권(AA-이상)액티브,K Market,1X,93760.0,135,12000000.0,,,,-0.9508,,,
975,150460,TIGER 중국소비테마,K Market,1X,7425.0,1699,12000000.0,,,,1.8518,,,
976,0082F0,HANARO 유럽방산,K Market,1X,10215.0,1239,12000000.0,,,,-6.5417,,,
