순위,코드/티커,종목명,시장,배율,현재가,거래량,거래대금,1W(%),2W(%),1M(%),3M(%),6M(%),1Y(%),3Y(%)
459,407820,에셋플러스 코리아플랫폼액티브,K Market,1X,6185.0,82000,507000000.0,,,,-13.7352,,,
460,153130,KODEX 단기채권,K Market,1X,113185.0,4368,494000000.0,,,,0.6556,,,
461,0141S0,SOL 조선기자재,K Market,1X,8660.0,58144,494000000.0,,,,-10.0266,,,
462,484890,SOL 머니마켓액티브,K Market,1X,52630.0,9339,491000000.0,,,,0.7463,,,
463,417450,RISE 글로벌수소경제,K Market,1X,15825.0,30975,489000000.0,,,,-21.6013,,,
464,0104H0,KoAct 미국나스닥채권혼합50액티브,K Market,1X,11960.0,40379,483000000.0,,,,-11.0699,,,
465,0227K0,RISE 미국우주위성통신,K Market,1X,9245.0,51295,482000000.0,,,,,,,
466,480310,TIGER 글로벌온디바이스AI,K Market,1X,22055.0,21372,475000000.0,,,,-10.9132,,,
467,143860,TIGER 헬스케어,K Market,1X,34480.0,13806,475000000.0,,,,-7.0697,,,
468,464920,PLUS 일본반도체소부장,K Market,1X,22955.0,20256,474000000.0,,,,-22.3609,,,
469,261060,TIGER 코스닥150IT,K Market,1X,25905.0,17912,471000000.0,,,,-2.6692,,,
470,476030,SOL 미국나스닥100,K Market,1X,17380.0,27010,471000000.0,,,,-8.5188,,,
471,0094K0,TIGER 28-04 회사채(A+이상)액티브,K Market,1X,99515.0,4652,463000000.0,,,,0.7385,,,
472,488290,MIDAS 일본테크액티브,K Market,1X,42580.0,10826,460000000.0,,,,-28.721,,,
473,0104G0,PLUS K방산레버리지,K Market,2X,5325.0,85127,459000000.0,-1.02,-7.15,-13.34,-44.21,-56.15,,
474,476750,ACE 미국30년국채엔화노출액티브(H),K Market,1X,7325.0,62724,457000000.0,,,,-14.1705,,,
475,0098N0,PLUS 자사주매입고배당주,K Market,1X,12960.0,35410,456000000.0,,,,9.1944,,,
476,0074K0,KoAct K수출핵심기업TOP30액티브,K Market,1X,16990.0,26552,452000000.0,,,,-17.0957,,,
477,0083S0,1Q 미국메디컬AI,K Market,1X,11850.0,37891,450000000.0,,,,18.2192,,,
478,261140,TIGER 우선주,K Market,1X,24805.0,17969,450000000.0,,,,-6.8662,,,
479,0131W0,1Q 단기특수은행채액티브,K Market,1X,102290.0,4390,449000000.0,,,,0.7435,,,
480,228810,TIGER 미디어컨텐츠,K Market,1X,2990.0,148615,449000000.0,,,,-8.5973,,,
481,0176P0,FOCUS AI반도체위클리고정커버드콜,K Market,1X,13710.0,32050,449000000.0,,,,-10.4143,,,
482,278240,RISE 코스닥150선물레버리지,K Market,2X,7885.0,56976,446000000.0,5.41,0.64,-2.83,-33.66,-55.07,-26.1,-41.12
483,477080,RISE CD금리액티브(합성),K Market,1X,107685.0,4066,437000000.0,,,,0.7954,,,
